Sex,Age,Height(cm),Weight(kg),Resting_BPM,Workout_Frequency(days/week),Experience_Level,Session_Duration(min),Workout_Type,Fat_Percentage,Water_Intake(liters),BMI,Diet_Plan,Workout_Plan
Female,31,166.2,51.7,65,3,Beginner,40,Cardio,24.2,2.41,18.7,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,25,176.6,46.9,59,4,Intermediate,50,Yoga,18.4,2.74,15.03,"Balance & Recovery: Leafy Greens, Lentils, Herbal Tea, Berries, Nuts, Tofu, Honey, Flax Seeds, Coconut Oil, Fermented Foods, Herbal Infusions, Chickpeas, Soaked Almonds, Carrot Juice","Warm-up: Deep Breathing, Sun Salutations | Workout: Warrior Pose, Tree Pose, Downward Dog, Cobra Pose, Meditation | Cool-down: Shavasana, Pranayama"
Female,25,167.2,54.8,65,4,Intermediate,50,Cardio,23.9,3.02,19.6,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,26,172.3,57.1,65,3,Beginner,40,Cardio,23.7,2.9,19.23,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,21,179.3,61.8,67,5,Advanced,65,Strength,11.7,3.8,19.22,"Muscle Gain: Eggs, Lean Meat, Brown Rice, Greek Yogurt, Almonds, Cottage Cheese, Protein Shake, Salmon, Spinach, Whole Milk, Lentils, Avocado, Nuts, Red Meat, Sweet Corn","Warm-up: Dynamic Stretches, Resistance Band Work | Workout: Squats, Deadlifts, Bench Press, Overhead Press, Pull-ups, Rows | Cool-down: Static Stretching, Foam Rolling"
Female,26,182.4,63.5,65,3,Beginner,40,Cardio,23.5,3.12,19.1,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,27,175.8,58.4,65,3,Beginner,40,Cardio,23.5,2.94,18.9,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,30,169.7,64.3,71,3,Beginner,40,HIIT,28.3,2.85,22.34,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Female,21,171.9,55,63,4,Intermediate,50,Cardio,21.8,3.02,18.62,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,26,172.2,59.6,69,4,Intermediate,55,Cardio,13.9,3.69,20.08,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,23,162.7,48.4,63,4,Intermediate,50,Cardio,21.8,2.79,18.29,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,23,174.2,56.4,63,4,Intermediate,50,Cardio,22.2,3.07,18.59,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,31,165.6,56.6,68,3,Beginner,40,Cardio,26.5,2.58,20.66,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,18,176.9,63.4,68,5,Advanced,65,Strength,12.2,3.8,20.24,"Muscle Gain: Eggs, Lean Meat, Brown Rice, Greek Yogurt, Almonds, Cottage Cheese, Protein Shake, Salmon, Spinach, Whole Milk, Lentils, Avocado, Nuts, Red Meat, Sweet Corn","Warm-up: Dynamic Stretches, Resistance Band Work | Workout: Squats, Deadlifts, Bench Press, Overhead Press, Pull-ups, Rows | Cool-down: Static Stretching, Foam Rolling"
Female,19,172.6,62.3,66,4,Intermediate,50,Cardio,24.1,3.28,20.91,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,28,167.6,48.3,65,4,Intermediate,55,Cardio,10.9,3.29,17.19,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,27,174.4,58.4,65,3,Beginner,40,Cardio,23.8,2.94,19.2,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,18,169.9,66.1,72,5,Advanced,65,HIIT,15.4,3.8,22.9,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Male,31,172,53,67,4,Intermediate,55,Cardio,12.4,3.15,17.92,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,21,177.3,59.6,38,5,Advanced,65,Strength,-11.4,1.8,0,"Muscle Gain: Eggs, Lean Meat, Brown Rice, Greek Yogurt, Almonds, Cottage Cheese, Protein Shake, Salmon, Spinach, Whole Milk, Lentils, Avocado, Nuts, Red Meat, Sweet Corn","Warm-up: Dynamic Stretches, Resistance Band Work | Workout: Squats, Deadlifts, Bench Press, Overhead Press, Pull-ups, Rows | Cool-down: Static Stretching, Foam Rolling"
Male,34,175.5,61.2,71,4,Intermediate,55,HIIT,15.5,3.44,19.88,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Female,34,177.6,66.7,70,3,Beginner,40,HIIT,27.8,2.93,21.15,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Male,28,171,57.3,69,4,Intermediate,55,Cardio,13.7,3.61,19.59,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,29,178.5,56.9,67,4,Intermediate,55,Cardio,11.9,3.59,17.87,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,30,175.5,52.5,63,3,Beginner,40,Cardio,21.9,2.44,17.04,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,27,166.1,56,70,4,Intermediate,55,HIIT,14.4,3.56,20.31,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Male,24,178.3,67.1,70,5,Advanced,65,HIIT,14.7,3.8,21.11,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Female,28,178.8,70.7,70,3,Beginner,40,HIIT,27.6,3.38,22.11,"High-Energy: Oats, Banana, Peanut Butter, Chicken, Sweet Potatoes, Coconut Water, Chia Seeds, Greek Yogurt, Eggs, Dark Chocolate, Almond Butter, Berries, Whole Grain Toast, Protein Smoothie","Warm-up: Jump Rope, High Knees | Workout: Burpees, Mountain Climbers, Kettlebell Swings, Box Jumps, Sprints | Cool-down: Stretching, Foam Rolling"
Female,26,169,58.1,67,3,Beginner,40,Cardio,25,2.93,20.34,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,18,168.6,54.1,63,4,Intermediate,50,Cardio,21.6,3,19.06,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Female,32,171.5,60.7,68,3,Beginner,40,Cardio,26.7,2.72,20.63,"Endurance Boost: Whole Wheat Bread, Fish, Nuts, Vegetables, Avocado, Beans, Dark Chocolate, Quinoa, Citrus Fruits, Green Tea, Walnuts, Chia Seeds, Hydrating Fruits, Oatmeal","Warm-up: Light Jogging, Arm Circles | Workout: Running, Cycling, Swimming, Rowing, Skipping, Stair Climbing | Cool-down: Slow Walk, Deep Breathing"
Male,22,168.9,58.4,69,5,Advanced,65,Strength,13.4,3.8,20.46,"Muscle Gain: Eggs, Lean Meat, Brown Rice, Greek Yogurt, Almonds, Cottage Cheese, Protein Shake, Salmon, Spinach, Whole Milk, Lentils, Avocado, Nuts, Red Meat, Sweet Corn","Warm-up: Dynamic Stretches, Resistance Band Work | Workout: Squats, Deadlifts, Bench Press, Overhead Press, Pull-ups, Rows | Cool-down: Static Stretching, Foam Rolling"
