Age,Gender,Weight(kg),Height(m),Resting_BPM,Workout_Frequency(days/week),Experience_Level,Session_Duration(min),Workout_Type,Fat_Percentage,Water_Intake(liters),BMI
24, Female ,40.4,1.64,55,2,1,60, HIIT         ,18.144,1.9,15.02
43, Male   ,102.6,1.72,58,2,1,50, Strength     ,46.106,2,34.68
19, Male   ,110.8,1.91,54,2,1,80, Strength     ,35.414,2.9,30.37
18, Female ,60.9,1.79,69,2,1,70, Cardio       ,21.552,2.1,19.01
54, Male   ,55.2,1.71,67,2,1,50, Cardio       ,29.676,2.8,18.88
58, Male   ,74.6,1.75,58,2,1,70, HIIT         ,37.172,2.9,24.36
52, Male   ,45.1,1.72,70,2,1,60, Cardio       ,24.848,3.3,15.24
50, Male   ,50.6,1.69,60,2,1,80, Cardio       ,27.364,3,17.72
53, Male   ,125.1,1.91,70,2,1,30, Strength     ,47.938,3.1,34.29
55, Female ,79.7,1.66,68,2,1,60, Cardio       ,41.954,1.9,28.92
57, Male   ,126.8,1.63,73,2,1,60, Yoga         ,64.974,2.1,47.72
19, Female ,58.8,1.77,53,2,1,80, HIIT         ,21.494,2.7,18.77
50, Male   ,90,1.7,74,2,1,50, Cardio       ,43.468,2.7,31.14
50, Male   ,51.5,1.71,64,2,1,90, Yoga         ,27.232,2.9,17.61
38, Male   ,91.5,1.77,74,2,1,50, Yoga         ,38.392,3.4,29.21
37, Male   ,48.7,1.67,74,2,1,80, Yoga         ,24.062,3,17.46
20, Male   ,128.4,1.92,57,2,1,40, Cardio       ,40.996,2,34.83
39, Male   ,105.5,1.99,71,2,1,50, HIIT         ,35.538,2.5,26.64
55, Female ,42.9,1.69,56,2,1,50, Yoga         ,25.274,2.4,15.02
25, Male   ,112.4,1.96,72,2,1,90, Cardio       ,35.462,2.5,29.26
50, Male   ,101.7,1.67,57,2,1,30, HIIT         ,49.864,2.9,36.47
50, Male   ,87.4,1.6,67,2,1,50, Strength     ,47.068,3.1,34.14
34, Female ,69.2,1.53,59,2,1,80, HIIT         ,37.892,2.1,29.56
58, Male   ,109.7,1.75,54,2,1,60, HIIT         ,50.924,2.7,35.82
54, Male   ,78.4,1.9,72,2,1,50, Yoga         ,33.084,3.7,21.72
50, Female ,66.3,1.57,73,2,1,80, HIIT         ,38.38,1.6,26.9
40, Male   ,63.8,1.62,72,2,1,80, HIIT         ,32.972,3.4,24.31
42, Female ,57.5,1.67,55,2,1,70, Yoga         ,29.004,2.4,20.62
39, Female ,63.6,1.56,66,2,1,70, Strength     ,34.926,2.4,26.13
40, Male   ,73.2,1.94,69,2,1,50, Strength     ,27.14,2.4,19.45
19, Female ,48.3,1.52,56,2,1,60, Strength     ,24.062,1.6,20.91
34, Male   ,110.5,1.86,62,2,1,90, Cardio       ,40.748,3.6,31.94
30, Male   ,64.1,1.87,67,2,1,40, Yoga         ,23.496,2.1,18.33
33, Male   ,113.6,1.99,58,2,1,80, Strength     ,36.618,3.4,28.69
29, Male   ,95.2,1.86,52,2,1,40, Yoga         ,34.294,2.5,27.52
23, Male   ,107,1.94,73,2,1,80, HIIT         ,34.006,2.9,28.43
32, Male   ,68.3,1.92,54,2,1,90, Strength     ,24.196,3.5,18.53
23, Female ,71.4,1.72,74,2,1,80, Strength     ,28.846,1.5,24.13
52, Male   ,104.8,1.99,67,2,1,60, Cardio       ,38.312,2,26.46
33, Female ,68.2,1.75,71,2,1,50, Strength     ,28.914,1.7,22.27
59, Female ,42.1,1.65,59,2,1,70, Strength     ,26.722,2.2,15.46
54, Female ,66.9,1.74,62,2,1,70, HIIT         ,33.54,2.1,22.1
43, Male   ,66.3,1.85,58,2,1,70, Cardio       ,27.734,3.2,19.37
20, Female ,51.1,1.58,64,2,1,30, Yoga         ,23.764,1.6,20.47
29, Male   ,81.7,1.99,54,2,1,90, Strength     ,26.026,3.2,20.63
43, Female ,42.7,1.66,53,2,1,40, Yoga         ,23.09,1.9,15.5
39, Male   ,107.7,1.88,59,2,1,40, Strength     ,40.134,3.6,30.47
43, Male   ,95.9,1.85,64,2,1,80, Yoga         ,38.114,3.4,28.02
38, Female ,40.6,1.79,55,2,1,40, Cardio       ,18.544,2.7,12.67
27, Female ,58,1.79,73,2,1,80, Cardio       ,22.53,1.5,18.1
45, Female ,65.5,1.57,59,2,1,40, Cardio       ,36.834,2.3,26.57
44, Female ,48,1.76,52,2,1,50, Yoga         ,23.32,2.6,15.5
37, Female ,69.5,1.5,66,2,1,40, Cardio       ,40.178,2.4,30.89
41, Male   ,66.1,1.69,68,2,1,50, Yoga         ,31.798,3.4,23.14
29, Male   ,68,1.7,60,2,1,50, HIIT         ,29.506,2.9,23.53
52, Male   ,50.3,1.78,67,2,1,50, HIIT         ,25.616,2.3,15.88
50, Female ,69.3,1.68,51,2,1,70, HIIT         ,35.56,2,24.55
27, Male   ,76.5,1.97,61,2,1,70, Strength     ,24.462,2.3,19.71
30, Male   ,67.9,1.75,67,2,1,80, Yoga         ,28.104,3.1,22.17
19, Male   ,98.6,1.7,74,2,1,50, Cardio       ,39.914,2.4,34.12
46, Female ,52,1.65,63,2,1,40, Cardio       ,28.1,1.9,19.1
58, Male   ,58.6,1.66,60,2,1,70, HIIT         ,33.464,2.9,21.27
46, Male   ,54.4,1.72,73,2,1,60, Cardio       ,27.248,2.9,18.39
35, Male   ,102.5,1.94,64,2,1,50, Cardio       ,35.326,2.4,27.23
56, Male   ,118,1.9,68,2,1,40, HIIT         ,46.708,3.2,32.69
54, Female ,46.6,1.5,58,2,1,80, Strength     ,31.872,2,20.71
40, Male   ,52.1,1.61,70,2,1,50, HIIT         ,27.92,3.3,20.1
42, Female ,46.6,1.77,63,2,1,40, Yoga         ,22.104,2.6,14.87
34, Male   ,65.9,1.62,56,2,1,50, Yoga         ,32.552,2.2,25.11
37, Female ,55.6,1.57,53,2,1,60, Cardio       ,30.182,2.4,22.56
42, Male   ,63.7,1.98,69,2,1,80, Yoga         ,23.76,3,16.25
29, Female ,60,1.62,69,2,1,50, Strength     ,28.702,1.9,22.86
26, Male   ,73.7,1.66,72,2,1,60, Yoga         ,32.68,2.2,26.75
31, Female ,48.2,1.65,60,2,1,70, Cardio       ,22.97,2.5,17.7
22, Male   ,98.4,1.88,71,2,1,30, Cardio       ,33.068,2.2,27.84
40, Female ,58.1,1.56,63,2,1,40, Yoga         ,32.444,2.2,23.87
27, Male   ,106.4,1.86,50,2,1,80, Cardio       ,37.722,3.1,30.76
26, Male   ,111.5,1.9,57,2,1,60, Yoga         ,37.648,2.2,30.89
44, Female ,72.1,1.66,55,2,1,80, Strength     ,36.112,2.5,26.16
39, Male   ,85.3,1.89,61,2,1,50, Strength     ,32.226,3.6,23.88
34, Male   ,68,1.68,57,2,1,40, Cardio       ,31.328,3.4,24.09
24, Female ,52.6,1.57,60,2,1,80, HIIT         ,25.728,2.4,21.34
23, Female ,67.8,1.61,66,2,1,80, HIIT         ,31.282,1.8,26.16
56, Female ,67.7,1.58,52,2,1,90, Strength     ,40.024,1.9,27.12
56, Female ,50.6,1.7,58,2,1,80, Strength     ,28.492,2.3,17.51
45, Female ,41.2,1.58,71,2,1,90, HIIT         ,24.75,2.6,16.5
23, Male   ,108.6,1.92,50,2,1,50, Yoga         ,35.242,3.5,29.46
37, Female ,73.5,1.69,66,2,1,30, Cardio       ,33.986,1.6,25.73
31, Female ,63.2,1.8,66,2,1,40, Cardio       ,25.142,2.6,19.51
25, Female ,77.7,1.55,52,2,1,30, Yoga         ,39.158,1.7,32.34
25, Female ,47.2,1.71,56,2,1,50, Cardio       ,19.718,2.5,16.14
23, Male   ,121.3,1.85,53,2,1,40, Yoga         ,42.418,3.6,35.44
49, Female ,78.9,1.73,64,2,1,80, Cardio       ,37.502,2.3,26.36
43, Female ,53.1,1.59,72,2,1,50, Strength     ,29.69,2.5,21
39, Female ,50.3,1.61,50,2,1,70, HIIT         ,26.862,2.5,19.41
30, Male   ,62.9,1.92,70,2,1,70, HIIT         ,21.972,3.6,17.06
51, Female ,74.6,1.55,50,2,1,40, Cardio       ,43.59,2.1,31.05
52, Female ,52.1,1.67,52,2,1,90, Yoga         ,28.976,1.5,18.68
18, Female ,72.2,1.54,54,2,1,60, Strength     ,35.268,1.7,30.44
45, Female ,50.9,1.65,50,2,1,90, Strength     ,27.39,2.3,18.7
27, Male   ,61.6,1.8,72,2,1,90, Yoga         ,23.622,3.1,19.01
51, Male   ,60.7,1.71,60,2,1,70, Strength     ,31.242,2.5,20.76
56, Male   ,93.6,1.66,52,2,1,80, Strength     ,48.244,2.2,33.97
51, Male   ,49.3,1.61,55,2,1,80, Cardio       ,29.154,2.9,19.02
32, Male   ,65.2,1.62,63,2,1,40, Cardio       ,31.768,3.4,24.84
34, Male   ,115.3,1.81,67,2,1,80, Yoga         ,44.648,2.2,35.19
51, Female ,77.3,1.58,68,2,1,60, Cardio       ,43.482,2,30.96
23, Female ,64.5,1.7,72,2,1,30, Cardio       ,26.674,1.7,22.32
33, Female ,53.6,1.52,73,2,1,60, Cardio       ,30.03,2.3,23.2
21, Female ,54.9,1.78,71,2,1,30, HIIT         ,20.226,2,17.33
20, Female ,46.5,1.68,72,2,1,60, HIIT         ,18.976,2.4,16.48
20, Male   ,83,1.8,73,2,1,50, Yoga         ,29.944,2.9,25.62
35, Male   ,101.4,1.76,64,2,1,50, HIIT         ,41.938,2.9,32.74
39, Male   ,71.7,1.88,51,2,1,30, Cardio       ,27.918,2.2,20.29
58, Male   ,90.2,1.72,55,2,1,50, HIIT         ,44.528,2.1,30.49
26, Female ,72.8,1.67,50,2,1,80, Strength     ,31.9,1.9,26.1
39, Female ,56,1.6,69,2,1,50, Yoga         ,29.814,2,21.87
43, Male   ,94,1.79,62,2,1,80, HIIT         ,39.698,3.4,29.34
31, Male   ,70.2,1.98,61,2,1,40, Yoga         ,23.222,2.5,17.91
45, Female ,50.4,1.79,59,2,1,40, Cardio       ,23.826,2.5,15.73
40, Male   ,81.7,1.74,58,2,1,60, Yoga         ,36.188,2.7,26.99
31, Male   ,49.3,1.62,52,2,1,30, Strength     ,24.278,3.2,18.79
31, Male   ,75.5,1.93,68,2,1,40, Cardio       ,26.054,3.4,20.27
52, Male   ,116.5,1.69,51,2,1,30, Cardio       ,55.508,2.4,40.79
54, Female ,58.4,1.59,73,2,1,70, Cardio       ,34.74,1.9,23.1
42, Male   ,79.3,1.93,50,2,1,70, Cardio       ,29.808,3.3,21.29
20, Female ,44.2,1.61,69,2,1,70, HIIT         ,19.66,2.5,17.05
58, Female ,56.5,1.7,57,2,1,40, Yoga         ,31.4,2.7,19.55
35, Male   ,100.9,1.63,59,2,1,70, Cardio       ,48.226,3.1,37.98
51, Male   ,48.6,1.77,74,2,1,90, Strength     ,24.942,3.5,15.51
43, Female ,70.1,1.66,58,2,1,60, Strength     ,35.018,2.6,25.44
51, Male   ,102.6,1.77,59,2,1,70, HIIT         ,45.63,3.4,32.75
38, Female ,76.6,1.58,53,2,1,40, Yoga         ,40.156,2.3,30.68
21, Male   ,93.7,1.73,72,2,1,60, Cardio       ,37.002,3.6,31.31
47, Male   ,127.1,1.76,73,2,1,40, Strength     ,54.646,3,41.03
37, Female ,70.3,1.77,52,2,1,60, Strength     ,30.038,1.7,22.44
21, Male   ,101.2,1.84,50,2,1,80, Yoga         ,35.298,3.3,29.89
47, Male   ,127.8,1.65,60,2,1,50, Cardio       ,61.738,3.5,46.94
55, Female ,49.3,1.76,73,2,1,80, Strength     ,26.354,2,15.92
28, Female ,63,1.62,55,2,1,40, Strength     ,29.852,1.9,24.01
22, Male   ,71,1.62,68,2,1,60, HIIT         ,32.12,3.5,27.05
54, Female ,70.1,1.52,65,2,1,50, HIIT         ,43.428,2.1,30.34
50, Female ,70.4,1.55,58,2,1,40, Strength     ,41.26,2.7,29.3
30, Male   ,120.3,1.96,65,2,1,40, Yoga         ,39.084,2.6,31.32
18, Female ,66.9,1.75,61,2,1,60, Yoga         ,24.948,1.7,21.84
34, Male   ,102.1,1.71,72,2,1,60, HIIT         ,44.324,3.2,34.92
26, Male   ,51.9,2,54,2,1,50, HIIT         ,16.144,2.3,12.97
41, Male   ,101.1,1.83,66,2,1,50, Yoga         ,40.258,3.2,30.19
52, Male   ,84.8,1.85,50,2,1,70, Cardio       ,36.296,3.2,24.78
26, Female ,71.2,1.5,54,2,1,70, Cardio       ,38.548,2.6,31.64
25, Female ,63.8,1.68,67,2,1,60, Cardio       ,27.47,1.9,22.6
22, Male   ,107.4,1.74,63,2,1,80, Strength     ,42.224,2.2,35.47
36, Female ,59.1,1.78,60,2,1,50, Cardio       ,25.26,2.2,18.65
43, Male   ,46.2,1.63,65,2,1,70, Strength     ,25.358,2.1,17.39
49, Male   ,57.2,1.89,62,2,1,70, Cardio       ,25.082,3.5,16.01
57, Female ,43.8,1.75,73,2,1,80, Cardio       ,24.87,1.7,14.3
23, Female ,44.1,1.62,58,2,1,40, Yoga         ,20.05,2.7,16.8
25, Male   ,66.6,1.61,56,2,1,80, Strength     ,31.178,3,25.69
46, Male   ,88.7,1.63,66,2,1,50, Strength     ,45.236,3.5,33.38
25, Male   ,53.2,1.7,56,3,1,40, Strength     ,22.442,2.1,18.41
38, Male   ,46.1,1.79,68,3,1,40, Strength     ,20.608,2.8,14.39
36, Male   ,70.3,1.72,73,3,2,90, Cardio       ,31.392,2.3,23.76
40, Female ,69.7,1.51,64,3,2,80, Cardio       ,40.484,1.9,30.57
28, Male   ,101.8,1.84,64,3,1,70, Cardio       ,37.124,2.7,30.07
53, Male   ,51.7,1.7,72,3,2,70, HIIT         ,28.258,3.5,17.89
57, Male   ,112.5,1.61,61,3,2,70, Cardio       ,59.79,2.7,43.4
41, Male   ,94.5,2,69,3,1,70, HIIT         ,32.374,3.7,23.62
20, Male   ,117.7,1.81,54,3,2,80, Yoga         ,42.316,3.3,35.93
19, Female ,64,1.53,58,3,2,80, HIIT         ,31.778,2.3,27.34
41, Female ,43.8,1.77,58,3,1,70, Cardio       ,20.806,1.6,13.98
47, Female ,66.8,1.75,56,3,2,70, Strength     ,31.582,2.5,21.81
42, Female ,63.7,1.71,62,3,2,90, Yoga         ,30.396,1.8,21.78
33, Female ,78,1.68,55,3,2,80, HIIT         ,35.358,1.8,27.64
32, Male   ,108.2,1.8,53,3,1,80, HIIT         ,42.04,3.5,33.4
26, Male   ,127.6,1.73,62,3,1,80, Strength     ,51.736,2.9,42.63
35, Male   ,96.9,1.71,72,3,2,80, Strength     ,42.418,2.9,33.14
42, Male   ,45.5,1.6,64,3,2,80, Strength     ,25.584,2.6,17.77
26, Female ,44.3,1.6,61,3,1,70, Cardio       ,21.34,2,17.3
45, Male   ,52.4,1.85,73,3,1,70, Strength     ,23.322,2.5,15.31
24, Male   ,54.7,1.74,53,3,1,50, Yoga         ,21.804,3.6,18.07
52, Female ,59.7,1.71,58,3,1,70, Strength     ,31.064,2,20.42
34, Female ,51,1.62,53,3,2,90, Yoga         ,25.736,2.4,19.43
57, Male   ,122.1,1.89,58,3,1,70, Cardio       ,48.726,3.6,34.18
21, Male   ,96.7,1.72,62,3,1,80, Strength     ,38.658,2.8,32.69
19, Female ,73,1.79,61,3,1,50, HIIT         ,26.306,1.6,22.78
59, Female ,65.5,1.52,61,3,2,80, Yoga         ,42.19,2.1,28.35
21, Female ,50.3,1.52,67,3,1,70, Cardio       ,25.554,2.6,21.77
43, Female ,58.2,1.61,54,3,2,60, Strength     ,31.43,2.6,22.45
53, Male   ,51.8,1.74,61,3,2,70, Strength     ,27.322,3.7,17.11
25, Female ,65.4,1.77,58,3,1,50, Cardio       ,25.406,2.6,20.88
38, Female ,61.4,1.54,69,3,2,90, HIIT         ,34.408,2.7,25.89
35, Male   ,70.1,1.79,63,3,2,70, Cardio       ,28.906,2.3,21.88
43, Male   ,55.5,1.82,66,3,1,70, Strength     ,24.602,2,16.76
42, Female ,53.7,1.72,74,3,1,80, Cardio       ,26.04,1.6,18.15
24, Female ,72.9,1.76,68,3,1,50, Yoga         ,28.356,1.5,23.53
41, Male   ,72.1,1.83,58,3,2,70, Yoga         ,29.866,2.8,21.53
25, Male   ,105,1.88,67,3,2,80, Cardio       ,36.002,2.3,29.71
52, Male   ,74,1.63,50,3,2,80, Cardio       ,39.98,3.7,27.85
50, Female ,56.4,1.59,74,3,1,80, HIIT         ,32.872,2.6,22.31
22, Male   ,102.6,1.84,65,3,2,80, Strength     ,36.02,2.7,30.3
59, Female ,54.6,1.57,64,3,1,40, Cardio       ,34.75,2.3,22.15
58, Male   ,103.5,1.66,61,3,1,80, Cardio       ,53.012,3.1,37.56
26, Male   ,77.7,1.62,73,3,2,70, Yoga         ,36.112,3,29.61
29, Male   ,58.6,1.61,72,3,2,70, Yoga         ,28.402,2,22.61
51, Male   ,109.3,1.78,64,3,1,30, Strength     ,47.73,3.3,34.5
50, Male   ,69.6,1.96,68,3,1,60, Strength     ,27.844,2,18.12
52, Female ,79.4,1.59,59,3,2,80, Strength     ,44.252,1.5,31.41
39, Female ,55.4,1.6,72,3,2,90, HIIT         ,29.538,1.6,21.64
54, Male   ,67,1.68,63,3,1,30, Yoga         ,35.508,2.8,23.74
31, Female ,42.3,1.6,70,3,2,70, Cardio       ,21.554,1.9,16.52
31, Male   ,86.6,1.76,66,3,2,80, Strength     ,35.282,3.3,27.96
32, Male   ,78.6,1.62,69,3,1,80, Yoga         ,37.9,3.1,29.95
59, Male   ,122.3,1.89,51,3,1,40, Yoga         ,49.258,3.1,34.24
49, Female ,45.2,1.74,73,3,2,70, Strength     ,23.786,2.1,14.93
56, Male   ,55.6,1.92,62,3,1,40, Strength     ,25.576,3.2,15.08
21, Male   ,125.2,1.66,60,3,2,80, HIIT         ,53.946,3.4,45.43
40, Female ,63.5,1.61,59,3,2,80, Cardio       ,33.2,1.6,24.5
53, Male   ,94.1,1.95,50,3,1,50, HIIT         ,36.49,3.5,24.75
39, Male   ,62,1.64,54,3,1,60, Cardio       ,31.23,3.2,23.05
19, Female ,73.9,1.77,64,3,2,80, Strength     ,27.278,2.6,23.59
59, Male   ,50.3,1.95,55,3,1,60, Strength     ,24.046,3.4,13.23
23, Male   ,83.1,1.8,56,3,1,40, Strength     ,30.67,3.1,25.65
45, Female ,65.1,1.78,66,3,1,90, Cardio       ,29.61,2.3,20.55
45, Male   ,46.6,1.79,55,3,2,90, Yoga         ,22.398,2.4,14.54
28, Female ,52,1.61,70,3,2,80, Yoga         ,25.112,2,20.06
50, Female ,67.1,1.75,59,3,1,40, Cardio       ,32.392,2.7,21.91
44, Female ,69.5,1.75,69,3,1,60, HIIT         ,31.948,2.1,22.69
30, Male   ,107.9,1.66,64,3,2,70, Cardio       ,48.492,2.8,39.16
58, Male   ,109,1.91,56,3,2,90, Yoga         ,43.796,2.2,29.88
20, Male   ,101,1.91,58,3,2,80, Cardio       ,32.428,2.7,27.69
26, Female ,54,1.53,54,3,1,70, Strength     ,28.264,1.7,23.07
59, Male   ,89.4,1.72,67,3,1,70, Yoga         ,44.434,3.2,30.22
49, Female ,42,1.52,70,3,1,70, HIIT         ,27.686,2.2,18.18
49, Male   ,79.2,1.72,69,3,1,90, Yoga         ,37.994,3.3,26.77
41, Male   ,64.8,1.71,54,3,2,70, Strength     ,30.622,2.8,22.16
29, Female ,56.2,1.77,61,3,1,40, Yoga         ,22.798,2.6,17.94
56, Female ,52.9,1.64,53,3,2,70, Cardio       ,31.084,2.3,19.67
19, Female ,49,1.69,64,3,1,60, Yoga         ,19.562,2.4,17.16
20, Male   ,128.2,1.84,58,3,1,50, HIIT         ,44.644,2.3,37.87
49, Female ,62.1,1.66,73,3,2,80, HIIT         ,32.918,1.8,22.54
36, Male   ,69.2,1.65,65,3,1,70, Strength     ,33.384,2.7,25.42
19, Female ,65.2,1.52,71,3,1,70, Cardio       ,32.834,2.4,28.22
49, Female ,40,1.65,74,3,2,60, Yoga         ,23.498,2.5,14.69
23, Female ,41.9,1.58,67,3,1,30, HIIT         ,20.026,1.8,16.78
28, Male   ,66,1.9,56,3,1,70, HIIT         ,22.976,3,18.28
22, Female ,71.6,1.77,56,3,1,90, Yoga         ,27.08,1.8,22.85
28, Male   ,87,1.76,60,3,2,70, Yoga         ,34.748,3.5,28.09
33, Female ,78,1.71,58,3,1,70, Cardio       ,34.194,2.1,26.67
20, Female ,71.3,1.69,52,3,2,80, Strength     ,29.152,2.3,24.96
37, Male   ,49.1,1.74,52,3,2,70, Yoga         ,22.574,2.6,16.22
53, Female ,78.3,1.65,50,3,1,70, HIIT         ,41.302,1.6,28.76
37, Female ,72.9,1.76,52,3,2,70, Strength     ,31.346,1.9,23.53
24, Female ,58.9,1.76,73,3,1,40, HIIT         ,22.932,1.7,19.01
50, Male   ,96.7,1.72,62,3,2,90, Strength     ,45.328,2.7,32.69
56, Male   ,107.8,1.73,50,3,2,70, Yoga         ,50.704,2.8,36.02
28, Male   ,76.3,1.62,70,3,2,70, Strength     ,35.924,2.3,29.07
45, Female ,44.5,1.65,71,3,1,90, Yoga         ,24.57,1.6,16.35
42, Female ,50.7,1.75,51,3,2,80, Strength     ,24.132,1.9,16.56
59, Male   ,86.9,1.76,60,3,2,70, Strength     ,41.83,3.1,28.05
29, Male   ,55.7,1.61,51,3,1,90, Strength     ,27.058,2.3,21.49
22, Male   ,110.5,1.92,55,3,2,70, HIIT         ,35.636,3.3,29.98
26, Female ,70.9,1.66,68,3,1,50, HIIT         ,31.456,1.7,25.73
36, Male   ,99.9,1.99,73,3,1,80, Yoga         ,33.156,2.5,25.23
33, Male   ,117,1.61,55,3,2,60, HIIT         ,56.358,2.4,45.14
37, Female ,71.2,1.64,73,3,2,70, HIIT         ,34.874,1.7,26.47
25, Male   ,49.9,1.98,68,3,2,70, Yoga         ,15.626,2.1,12.73
37, Female ,54.6,1.57,62,3,1,80, Strength     ,29.69,2.4,22.15
52, Female ,47.8,1.54,63,3,2,80, Cardio       ,30.752,1.9,20.16
42, Male   ,97.9,1.91,73,3,2,60, Strength     ,36.468,2.8,26.84
52, Female ,63.1,1.54,67,3,2,80, Strength     ,38.492,1.8,26.61
42, Female ,72.4,1.69,61,3,2,60, Yoga         ,34.68,2.3,25.35
52, Male   ,105.2,1.62,61,3,1,80, HIIT         ,54.668,3.2,40.09
33, Female ,45.9,1.5,62,3,1,60, Yoga         ,26.67,1.7,20.4
58, Female ,65.2,1.63,53,3,2,70, HIIT         ,37.388,2,24.54
25, Female ,57.8,1.56,66,3,2,80, Yoga         ,28.85,1.6,23.75
24, Female ,42,1.75,55,3,1,50, Strength     ,16.572,2.3,13.71
34, Female ,74.2,1.57,52,3,1,90, Cardio       ,38.54,2.4,30.1
44, Female ,77.7,1.79,53,3,1,90, HIIT         ,33.82,2.2,24.25
51, Female ,70.3,1.55,54,3,1,80, Yoga         ,41.442,1.6,29.26
38, Female ,59.1,1.72,68,3,2,60, Cardio       ,27.316,1.7,19.98
47, Female ,49.9,1.69,64,3,2,90, HIIT         ,26.374,1.7,17.47
45, Male   ,93,1.91,55,3,2,60, Cardio       ,35.538,3.7,25.49
52, Male   ,72.3,1.94,56,3,2,90, Yoga         ,29.612,2.9,19.21
46, Male   ,55.1,1.72,66,3,2,90, Yoga         ,27.524,3.6,18.62
38, Male   ,61.3,1.97,51,3,1,80, Cardio       ,22.3,2.8,15.8
20, Female ,74.7,1.58,62,3,2,60, Strength     ,35.104,2.4,29.92
59, Female ,60.7,1.73,55,3,2,60, Yoga         ,32.506,2.5,20.28
48, Male   ,69,1.74,58,3,2,90, HIIT         ,32.988,2.3,22.79
57, Female ,75.7,1.63,60,3,1,40, Cardio       ,41.898,2.3,28.49
41, Female ,71.2,1.64,54,3,2,90, HIIT         ,35.794,2.3,26.47
44, Female ,42.8,1.78,64,3,2,90, Strength     ,20.932,2.6,13.51
59, Male   ,88.1,1.76,74,3,2,80, Strength     ,42.298,3,28.44
43, Male   ,73.2,1.88,63,3,1,70, Cardio       ,29.342,3.3,20.71
57, Female ,46.1,1.76,60,3,2,90, Strength     ,25.566,1.7,14.88
56, Female ,45.1,1.73,73,3,1,50, Strength     ,25.564,2.6,15.07
46, Male   ,45,1.77,58,3,2,90, Cardio       ,22.412,3.6,14.36
59, Male   ,89.4,1.62,59,3,2,90, Strength     ,49.042,3.6,34.06
43, Male   ,127.7,1.69,53,3,2,70, Cardio       ,58.142,2.9,44.71
52, Male   ,70.9,1.72,66,3,2,80, Strength     ,35.324,2.6,23.97
42, Female ,49.2,1.5,63,3,2,70, HIIT         ,30.504,1.5,21.87
